City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
96,Karratha,51.9556,66.4042,6.26,98,87,8.19,KZ
97,Karratha,43.801,87.6005,39.2,81,0,4.47,CN
98,Karratha,11.5,42.5,75.2,46,1,3.44,DJ
99,Karratha,65.9811,60.3094,28.81,96,100,6.89,RU
100,Karratha,40.8106,111.6522,46.4,87,40,2.24,CN
101,Karratha,-6.2167,155.6333,85.6,67,4,5.21,PG
102,Karratha,64.1835,-51.7216,30.2,86,75,40.29,GL
103,Karratha,40.5982,-124.1573,62.6,34,1,9.22,US
104,Karratha,-33.9258,18.4232,62.01,82,20,8.05,ZA
105,Karratha,41.631,48.681,43.48,79,4,1.59,AZ
106,Karratha,64.3833,-173.3,10.4,61,0,4.47,RU
107,Karratha,41.2547,67.9692,37.94,72,6,10.76,KZ
108,Karratha,-19.5356,-49.4864,69.3,66,8,2.77,BR
109,Karratha,-12.2333,136.7667,82.4,83,75,9.22,AU
110,Karratha,32.5341,20.5791,50.49,78,0,0.31,LY
111,Karratha,22.2855,114.1577,82.0,80,88,8.88,HK
112,Karratha,52.4083,6.6222,54.0,72,98,3.0,NL
113,Karratha,-8.9266,125.4092,64.9,93,100,1.34,TL
114,Karratha,77.484,-69.3632,-9.49,76,92,9.91,GL
115,Karratha,41.3712,-73.414,55.99,96,100,3.2,US
116,Karratha,65.6145,-37.6368,28.4,54,20,9.22,GL
117,Karratha,15.1167,100.1,87.01,70,92,4.0,TH
118,Karratha,63.0128,112.4714,5.79,85,88,4.0,RU
119,Karratha,-19.0595,-169.9187,86.0,74,75,12.66,NU
120,Karratha,-28.55,16.4333,61.68,97,42,13.15,NA
121,Karratha,64.2539,-15.2082,41.22,59,6,15.12,IS
122,Karratha,47.6666,-52.7314,26.01,74,20,8.05,CA
123,Karratha,-7.2586,-64.7981,70.45,98,98,2.26,BR
124,Karratha,68.75,161.3,10.04,74,100,3.24,RU
125,Karratha,-11.0964,-77.6139,68.97,88,19,7.63,PE
126,Karratha,41.9563,42.9566,57.2,38,0,35.68,GE
127,Karratha,70.6333,147.9167,5.54,92,74,5.3,RU
128,Karratha,-41.8697,-73.8203,55.0,94,0,5.75,CL
129,Karratha,5.5577,95.3222,82.44,74,100,17.76,ID
130,Karratha,63.4427,-20.2734,42.71,79,83,18.19,IS
131,Karratha,-6.1219,141.2906,80.76,76,100,1.12,PG
132,Karratha,54.2797,-0.4044,44.01,91,100,4.0,GB
133,Karratha,28.3667,129.4833,71.6,88,75,12.66,JP
134,Karratha,50.2334,-63.5986,33.8,93,40,13.8,CA
135,Karratha,40.1292,124.3947,64.17,28,100,3.96,CN
136,Karratha,27.7167,85.3167,60.8,94,20,3.38,NP
137,Karratha,-45.4167,167.7167,67.73,35,100,2.04,NZ
138,Karratha,69.2167,-51.1,17.6,67,75,4.94,GL
139,Karratha,-31.4333,152.9167,72.0,94,75,4.61,AU
140,Karratha,66.5,25.7167,32.0,74,0,11.5,FI
141,Karratha,-9.4431,147.1797,87.8,70,40,8.05,PG
142,Karratha,-2.479,29.5564,52.84,94,55,3.15,RW
143,Karratha,70.4692,-68.5914,-13.0,77,20,11.5,CA
144,Karratha,45.0205,-93.218,30.2,40,1,6.91,US
145,Karratha,-30.1811,-50.2056,68.36,75,34,11.68,BR
146,Karratha,40.1629,-8.3327,61.0,85,60,3.0,PT
147,Karratha,-33.918,25.5701,64.4,77,0,10.36,ZA
148,Karratha,70.0167,135.6,7.34,82,100,1.39,RU
149,Karratha,62.456,-114.3525,23.0,58,75,6.91,CA
150,Karratha,5.9485,80.5353,80.19,85,39,6.78,LK
151,Karratha,42.8,93.45,47.46,24,5,8.16,CN
152,Karratha,52.2914,-0.5992,48.0,89,7,8.01,GB
153,Karratha,78.2186,15.6401,30.2,69,75,13.8,SJ
154,Karratha,70.9821,25.9704,33.96,98,100,10.96,NO
155,Karratha,69.7008,170.3133,-1.75,84,100,2.39,RU
156,Karratha,70.3705,31.1107,34.23,92,89,19.26,NO
157,Karratha,41.1239,-100.7654,39.99,40,1,5.75,US
158,Karratha,44.994,7.6418,60.01,47,91,1.77,IT
159,Karratha,-33.0153,27.9116,66.06,79,32,9.31,ZA
160,Karratha,-0.8667,134.0833,83.32,69,94,4.14,ID
161,Karratha,-3.6667,152.4333,85.91,64,30,3.8,PG
162,Karratha,43.3236,145.575,50.0,50,20,5.75,JP
163,Karratha,-19.55,169.2667,84.27,68,100,10.54,VU
164,Karratha,50.1604,37.3474,39.79,83,93,7.76,UA
165,Karratha,3.8653,-67.9239,74.39,95,100,2.21,CO
166,Karratha,11.0333,-63.8628,75.49,87,30,14.32,VE
167,Karratha,-18.0607,13.84,65.41,85,41,10.22,NA
168,Karratha,-21.3585,55.7679,78.8,78,20,12.66,RE
169,Karratha,39.1834,-84.5333,43.0,39,1,13.8,US
170,Karratha,7.0419,134.2556,87.8,70,75,8.05,PW
171,Karratha,-25.2406,130.9889,80.6,19,0,14.97,AU
172,Karratha,5.3505,48.5268,79.34,74,27,7.27,SO
173,Karratha,38.525,22.3731,46.0,69,1,3.0,GR
174,Karratha,-17.8,-63.1667,73.4,78,75,3.44,BO
175,Karratha,54.9321,41.1438,36.12,98,100,10.58,RU
176,Karratha,-5.3582,104.9744,74.68,96,100,2.21,ID
177,Karratha,56.9064,118.2631,13.62,69,76,1.21,RU
178,Karratha,33.0833,-16.3333,60.8,77,20,13.8,PT
179,Karratha,5.6667,73.0,84.38,71,59,9.26,MV
