City_ID,Hotel Name,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
284,,284,Karratha,-39.8142,-73.2459,60.8,82,75,1.14,CL
287,,287,Karratha,-31.6333,-60.7,61.72,75,0,6.02,AR
288,,288,Karratha,-6.0258,-44.2492,72.43,98,100,0.89,BR
289,,289,Karratha,27.4333,82.1833,78.71,11,0,0.83,IN
291,,291,Karratha,-22.4114,-47.5614,66.99,82,0,4.61,BR
293,,293,Karratha,14.5333,20.9167,71.06,16,1,9.17,TD
294,,294,Karratha,-7.2597,-34.9075,78.8,89,0,4.61,BR
296,,296,Karratha,34.4166,-79.3712,66.99,100,90,6.91,US
297,,297,Karratha,18.0384,-71.744,78.33,70,2,9.89,DO
298,,298,Karratha,-33.6971,-53.4616,63.27,73,99,6.46,UY
299,,299,Karratha,7.9803,49.8164,72.91,70,73,3.13,SO
301,,301,Karratha,32.5056,-110.9211,77.0,11,0,7.7,US
303,,303,Karratha,42.7762,-9.0603,63.0,63,100,11.56,ES
306,,306,Karratha,21.2667,-97.45,75.13,95,100,7.09,MX
310,,310,Karratha,18.6853,12.9164,66.24,14,0,11.72,NE
311,,311,Karratha,25.9333,81.9833,77.9,7,0,7.14,IN
314,,314,Karratha,12.485,-16.5469,68.0,94,0,4.61,SN
316,,316,Karratha,35.7333,140.8333,70.0,52,40,8.05,JP
318,,318,Karratha,35.1333,140.3,70.0,63,75,6.91,JP
322,,322,Karratha,33.3597,129.5531,68.0,48,0,4.61,JP
323,,323,Karratha,45.5234,-122.6762,66.2,32,75,6.91,US
325,,325,Karratha,29.9576,122.29799999999999,60.31,97,100,1.59,CN
326,,326,Karratha,35.6225,-117.6709,71.6,5,1,6.91,US
333,,333,Karratha,-3.1019,-60.025,77.0,94,0,3.44,BR
335,,335,Karratha,13.0917,-1.0844,78.15,13,6,9.33,BF
336,,336,Karratha,-27.31,31.892,63.86,90,100,2.75,SZ
337,,337,Karratha,44.0582,-121.3153,63.0,20,1,5.75,US
339,,339,Karratha,-20.0064,57.6608,75.99,85,13,1.99,MU
343,,343,Karratha,-2.5167,32.9,65.62,91,71,6.15,TZ
344,,344,Karratha,5.1794,7.7108,77.31,88,91,3.94,NG
345,,345,Karratha,4.9333,-52.3333,79.0,83,40,4.61,GF
346,,346,Karratha,-23.35,47.6,69.84,88,62,1.9,MG
350,,350,Karratha,18.7369,7.3853,68.86,13,0,5.01,NE
355,,355,Karratha,30.8946,49.4092,71.6,45,0,5.5,IR
356,,356,Karratha,28.4532,117.9686,74.41,84,100,3.36,CN
357,,357,Karratha,36.2083,-115.9839,68.0,10,0,1.57,US
361,,361,Karratha,-6.6447,-51.995,71.62,98,59,0.63,BR
362,,362,Karratha,-20.2078,57.7625,75.99,100,75,6.91,MU
363,,363,Karratha,-12.7333,-69.1833,71.01,98,100,0.36,PE
366,,366,Karratha,22.2394,68.9678,79.92,73,0,10.63,IN
372,,372,Karratha,34.4133,-119.861,68.0,48,1,4.61,US
378,,378,Karratha,19.2167,-98.8083,71.6,13,40,17.27,MX
379,,379,Karratha,-20.5167,57.5167,75.2,100,75,6.91,MU
382,,382,Karratha,-41.0667,145.9167,70.83,57,100,12.57,AU
384,,384,Karratha,29.4603,119.8861,75.15,78,92,0.13,CN
385,,385,Karratha,-20.4667,22.7167,65.8,46,96,5.91,BW
391,,391,Karratha,45.5198,-123.1107,64.4,39,1,4.61,US
393,,393,Karratha,31.3167,-113.5333,73.99,36,7,7.0,MX
394,,394,Karratha,-35.1667,173.1667,67.03,71,33,10.2,NZ
395,,395,Karratha,-38.1,176.7,73.99,52,45,4.0,NZ
397,,397,Karratha,21.8667,73.5,78.8,73,13,6.91,IN
401,,401,Karratha,25.5198,90.2201,77.67,73,35,6.2,IN
402,,402,Karratha,34.9833,139.8667,64.4,72,40,12.66,JP
408,,408,Karratha,-9.5402,16.340999999999998,62.56,96,93,3.33,AO
409,,409,Karratha,-21.4803,-56.1381,71.98,56,83,4.47,BR
412,,412,Karratha,-17.7833,-57.7667,78.85,61,82,1.99,BO
416,,416,Karratha,18.217,-63.0578,77.0,69,20,17.27,AI
418,,418,Karratha,-20.2333,164.0167,79.16,71,100,9.44,NC
420,,420,Karratha,36.6177,-121.9166,75.2,20,1,3.44,US
